Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,7,0.81,0.01,0.37507626067482536
75% Corpus,7,0.81,0.21000000000000002,0.37752332972065733
75% Corpus,7,0.81,0.41000000000000003,0.3770099640987051
75% Corpus,7,0.81,0.6100000000000001,0.3785703560640644
75% Corpus,7,0.81,0.81,0.38102610506883583
75% Corpus,7,0.81,symmetric,0.37554324056356564
75% Corpus,7,symmetric,0.01,0.38367630654662105
75% Corpus,7,symmetric,0.21000000000000002,0.38383445290769064
75% Corpus,7,symmetric,0.41000000000000003,0.38551989409890863
75% Corpus,7,symmetric,0.6100000000000001,0.37679640625484184
75% Corpus,7,symmetric,0.81,0.3796185552080268
75% Corpus,7,symmetric,symmetric,0.38063148920136886
75% Corpus,7,asymmetric,0.01,0.3652634055972079
75% Corpus,7,asymmetric,0.21000000000000002,0.37389421526578637
75% Corpus,7,asymmetric,0.41000000000000003,0.3744665241813771
75% Corpus,7,asymmetric,0.6100000000000001,0.3904554614442489
75% Corpus,7,asymmetric,0.81,0.3913326619906544
75% Corpus,7,asymmetric,symmetric,0.3747381419701203
75% Corpus,8,0.01,0.01,0.36610122421342556
75% Corpus,8,0.01,0.21000000000000002,0.37522033517966236
75% Corpus,8,0.01,0.41000000000000003,0.37408009090372824
75% Corpus,8,0.01,0.6100000000000001,0.3759086443771449
75% Corpus,8,0.01,0.81,0.37551698490836616
75% Corpus,8,0.01,symmetric,0.3615796377896068
75% Corpus,8,0.21000000000000002,0.01,0.37353403257412876
75% Corpus,8,0.21000000000000002,0.21000000000000002,0.3706787862521118
75% Corpus,8,0.21000000000000002,0.41000000000000003,0.37120688304283744
75% Corpus,8,0.21000000000000002,0.6100000000000001,0.3770884964932677
75% Corpus,8,0.21000000000000002,0.81,0.38028398896969096
75% Corpus,8,0.21000000000000002,symmetric,0.3697046678639416
75% Corpus,8,0.41000000000000003,0.01,0.37742369296779676
75% Corpus,8,0.41000000000000003,0.21000000000000002,0.38201288650283705
75% Corpus,8,0.41000000000000003,0.41000000000000003,0.3810588490909157
75% Corpus,8,0.41000000000000003,0.6100000000000001,0.3782794675412226
75% Corpus,8,0.41000000000000003,0.81,0.3739173511979896
75% Corpus,8,0.41000000000000003,symmetric,0.3790275295643349
75% Corpus,8,0.6100000000000001,0.01,0.3763783635776323
75% Corpus,8,0.6100000000000001,0.21000000000000002,0.37870761099375055
75% Corpus,8,0.6100000000000001,0.41000000000000003,0.3800492876969873
75% Corpus,8,0.6100000000000001,0.6100000000000001,0.38185768371609996
75% Corpus,8,0.6100000000000001,0.81,0.3855499611224133
